Satellite,Rise Events,Peak Events,Set Events
STARLINK-33966,122,3,121
STARLINK-34251,448,20,448
STARLINK-34311,179,8,179
STARLINK-34324,128,30,129
STARLINK-34327,94,8,94
STARLINK-33944,91,2,91
STARLINK-34310,163,10,164
STARLINK-34258,76,14,77
STARLINK-34284,119,21,119
STARLINK-34332,39,0,40
STARLINK-34283,445,39,445
STARLINK-34296,93,0,92
STARLINK-34320,140,7,140
STARLINK-34300,202,23,202
STARLINK-34323,205,32,205
STARLINK-34328,176,32,175
STARLINK-34326,304,44,304
STARLINK-34318,40,0,41
STARLINK-34337,186,19,186
STARLINK-34304,32,1,33
STARLINK-34289,124,11,125
STARLINK-34347,10,2,9
STARLINK-34330,22,5,22
STARLINK-34167,77,15,78
STARLINK-34281,18,23,18
STARLINK-34219,63,81,63
STARLINK-34342,140,49,140
STARLINK-11673,321,270,321
STARLINK-11671,43,22,44
STARLINK-33782,33,25,34
STARLINK-34207,20,22,20
STARLINK-34260,96,81,97
STARLINK-33855,88,37,88
STARLINK-34223,382,320,382
STARLINK-34216,102,48,102
STARLINK-34218,20,15,21
STARLINK-34017,15,18,14
