Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours),Timestamp
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:42.499111,-247325.7433831617,19.35961428178325,27.5050839343378,1382.748544830393,14.657152615555557,2026-06-12 20:50:42.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:43.499111,-247556.90217676,19.206495662529026,27.496168425104894,1389.1572785713608,14.657152615555557,2026-06-12 20:50:43.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:44.499111,-247784.59167440856,19.05450297021271,27.487388530983964,1395.5719542576978,14.657152615555557,2026-06-12 20:50:44.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:45.499111,-248008.8708119912,18.903621792977685,27.478742028966167,1401.9924828005924,14.657152615555557,2026-06-12 20:50:45.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:46.499111,-248229.7973275264,18.75383794285515,27.47022674507141,1408.4187766221048,14.657152615555557,2026-06-12 20:50:46.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:47.499111,-248447.42778807512,18.605137451956715,27.461840553000737,1414.850749624523,14.657152615555557,2026-06-12 20:50:47.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:48.499111,-248661.8176160046,18.457506568739188,27.453581372827,1421.2883171599844,14.657152615555557,2026-06-12 20:50:48.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:49.499111,-248873.0211146781,18.310931754298228,27.445447169785165,1427.73139600206,14.657152615555557,2026-06-12 20:50:49.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:50.499111,-249081.0914934936,18.16539967876727,27.43743595298148,1434.179904316106,14.657152615555557,2026-06-12 20:50:50.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:51.499111,-249286.08089237064,18.02089721773692,27.42954577429565,1440.633761631892,14.657152615555557,2026-06-12 20:50:51.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:52.499111,-249488.0404056604,17.877411448750692,27.421774727159423,1447.0928888161102,14.657152615555557,2026-06-12 20:50:52.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:53.499111,-249687.0201054655,17.734929647862657,27.41412094554025,1453.5572080453878,14.657152615555557,2026-06-12 20:50:53.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:54.499111,-249883.06906445004,17.593439286242422,27.406582602792398,1460.0266427802324,14.657152615555557,2026-06-12 20:50:54.499111
