Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km),Timestamp
STARLINK-6115,2026-06-08T18:05:56Z,-43432.01066824795,139.8846331548573,66.79218367994142,605.6174570150151,2026-06-08 18:05:56+00:00
STARLINK-6115,2026-06-08T18:05:57Z,-46400.07560851476,138.34006357166524,66.5119189917727,606.7816203352835,2026-06-08 18:05:57+00:00
STARLINK-6115,2026-06-08T18:05:58Z,-49350.49283158828,136.83677053878816,66.21766096995842,608.0224831309179,2026-06-08 18:05:58+00:00
STARLINK-6115,2026-06-08T18:05:59Z,-52282.29304694536,135.37511891562104,65.91019713154208,609.3395753787113,2026-06-08 18:05:59+00:00
STARLINK-6115,2026-06-08T18:06:00Z,-55194.54028922899,133.9552364245007,65.59031028787763,610.732402352488,2026-06-08 18:06:00+00:00
STARLINK-6115,2026-06-08T18:06:01Z,-58086.33313669583,132.57703788096455,65.25877403191639,612.2004455327743,2026-06-08 18:06:01+00:00
STARLINK-6115,2026-06-08T18:06:02Z,-60956.80569169602,131.24024955160002,64.91634886674103,613.7431634966615,2026-06-08 18:06:02+00:00
STARLINK-6115,2026-06-08T18:06:03Z,-63805.128410547935,129.94443302605896,64.56377894238237,615.359992815562,2026-06-08 18:06:03+00:00
STARLINK-6115,2026-06-08T18:06:04Z,-66630.50899764996,128.68900806302423,64.20178933712347,617.0503490870249,2026-06-08 18:06:04+00:00
STARLINK-6115,2026-06-08T18:06:05Z,-69432.1928872845,127.47327429601056,63.83108389935079,618.8136278271528,2026-06-08 18:06:05+00:00
STARLINK-6115,2026-06-08T18:06:06Z,-72209.46381345573,126.29643134016813,63.45234354015246,620.6492055020909,2026-06-08 18:06:06+00:00
STARLINK-6115,2026-06-08T18:06:07Z,-74961.64413243083,125.1575973097789,63.066224969313645,622.5564405004258,2026-06-08 18:06:07+00:00
STARLINK-6115,2026-06-08T18:06:08Z,-77688.09511537316,124.0558255829024,62.67335979636569,624.5346741777197,2026-06-08 18:06:08+00:00
STARLINK-6115,2026-06-08T18:06:09Z,-80388.21704211079,122.99011987560095,62.27435397177463,626.5832318566615,2026-06-08 18:06:09+00:00
STARLINK-6115,2026-06-08T18:06:10Z,-83061.44902899698,121.9594476823454,61.869787535471104,628.701423702981,2026-06-08 18:06:10+00:00
STARLINK-6115,2026-06-08T18:06:11Z,-85707.26930453155,120.96275188096122,61.4602145208934,630.8885460448201,2026-06-08 18:06:11+00:00
STARLINK-6115,2026-06-08T18:06:12Z,-88325.19455504102,119.9989611288886,61.046163186218855,633.1438820368497,2026-06-08 18:06:12+00:00
STARLINK-6115,2026-06-08T18:06:13Z,-90914.77984063234,119.0669985828856,60.6281363099372,635.4667028501597,2026-06-08 18:06:13+00:00
STARLINK-6115,2026-06-08T18:06:14Z,-93475.61809835864,118.16578944076686,60.20661167041463,637.8562685990738,2026-06-08 18:06:14+00:00
